pick,team,player,acquired_from
1,Detroit Pistons,Cade Cunningham,
2,Houston Rockets,Jalen Green,
3,Cleveland Cavaliers,Evan Mobley,
4,Toronto Raptors,Scottie Barnes,
5,Orlando Magic,Jalen Suggs,
6,Oklahoma City Thunder,Josh Giddey,
7,Golden State Warriors,Jonathan Kuminga,Minnesota Timberwolves
8,Orlando Magic,Franz Wagner,Chicago Bulls
9,Sacramento Kings,Davion Mitchell,
10,Memphis Grizzlies,Ziaire Williams,New Orleans Pelicans
11,Charlotte Hornets,James Bouknight,
12,San Antonio Spurs,Joshua Primo,
13,Indiana Pacers,Chris Duarte,
14,Golden State Warriors,Moses Moody,
